work_id,msd_id,artist_id,shs_id,clique_size,title
"%72636,4253,",TRPYNNL12903CAF506,ARXJJSN1187B98CB37,46770,5,My Sweet Lord
"%72636,4253,",TRFYRVZ128F92EF998,ARNUFGE1187B9B7881,72636,5,He's So Fine
"%72636,4253,",TRXAJXI128F4267A92,AR7K9W71187B9AF065,76190,5,He's So Fine
"%72636,4253,",TRMONTS128F427FF78,ARHYUI71187FB48366,4253,5,My Sweet Lord (LP Version)
"%72636,4253,",TRGSXCN128F9320D4B,ARZEAO01187B998042,130256,5,He's So Fine
"%51981,",TRTRNUX128F93297EF,AR31EL21187B98A723,51981,2,These Things Will Keep Me Loving You
"%51981,",TRKQBVB128C7196AED,AR8L6W21187B9AD317,51982,2,These Things Will Keep Me Loving You
"%22914,",TRBKHJE128F931F762,AROHGM71187B98ED9E,22914,4,Take Me In Your Arms (Rock Me A Little While)
"%22914,",TRNOHZD128C719668F,ARTG85X1187B99D1F5,22915,4,Take Me In Your Arms (Rock Me A Little While)
"%22914,",TRTMZVE128F92DF6FB,ART9VTZ1187FB48DDC,22917,4,Take Me In Your Arms (Rock Me A Little While)
"%22914,",TRMFHKO128F426E4C6,ARUIHX41187B98BE59,-1,4,Take Me In Your Arms (Rock Me A Little While)
"%4173,",TRYCGBR128F428256C,ARLQ1IL1187FB3C77A,98931,4,Come Softly To Me
"%4173,",TRWQUEV12903CB3AD3,AROSQW61187FB5330B,4173,4,Come Softly To Me
"%4173,",TRSGOFX128F4267A45,AR7K9W71187B9AF065,76187,4,Come Softly To Me
"%4173,",TRHHBEI12903CF8A4A,ARKMSNH1187FB44DEB,114319,4,Come Softly to Me
"%114512,15202,",TRBQEKU128F428C1B3,ARLHO5Z1187FB4C861,15202,2,No Sleep Till Brooklyn
"%114512,15202,",TRFLJNQ128F14A8388,ART93VS1187FB5828A,130071,2,Feasty Boys
"%44901,",TRDDAQO128F428E278,ARBHH1V1187B9AD2EC,44902,2,Drugs
"%44901,",TRDCFLD128F1473180,ARROQSO1187B9AEB80,44901,2,Drugs (2005 Remastered Album Version)
"%52990,",TREBUPV128F42594E7,ARA3VJJ1187FB3F5A6,69885,4,I Don't Want To Hear It Anymore
